video name,upload time,views
Inside the mind of a master procrastinator | Tim Urban,4 years ago,36M views
The next outbreak? We’re not ready | Bill Gates,5 years ago,33M views
The orchestra in my mouth | Tom Thum,7 years ago,30M views
How to speak so that people want to listen | Julian Treasure,6 years ago,29M views
"Looks aren't everything. Believe me, I'm a model. | Cameron Russell",8 years ago,27M views
The art of misdirection | Apollo Robbins,7 years ago,22M views
Strange answers to the psychopath test | Jon Ronson,8 years ago,22M views
How I held my breath for 17 minutes | David Blaine,11 years ago,21M views
How to spot a liar | Pamela Meyer,9 years ago,20M views
Do schools kill creativity? | Sir Ken Robinson,14 years ago,20M views
What makes a good life? Lessons from the longest study on happiness | Robert Waldinger,5 years ago,19M views
Your body language may shape who you are | Amy Cuddy,8 years ago,19M views
The future we're building -- and boring | Elon Musk,3 years ago,17M views
My escape from North Korea | Hyeonseo Lee,7 years ago,15M views
"A Saudi, an Indian and an Iranian walk into a Qatari bar ... | Maz Jobrani",8 years ago,15M views
"[Full livestream] Watch the Countdown Global Launch, a call to action on climate change",Streamed 4 months ago,15M views
The power of vulnerability | Brené Brown,10 years ago,15M views
How great leaders inspire action | Simon Sinek,10 years ago,13M views
10 things you didn't know about orgasm | Mary Roach,11 years ago,13M views
My journey to yo-yo mastery | BLACK,7 years ago,12M views
"New bionics let us run, climb and dance | Hugh Herr",6 years ago,12M views
The power of introverts | Susan Cain,9 years ago,11M views
The price of shame | Monica Lewinsky,5 years ago,11M views
How to stay calm when you know you'll be stressed | Daniel Levitin,5 years ago,11M views
How to make stress your friend | Kelly McGonigal,7 years ago,11M views
10 ways to have a better conversation | Celeste Headlee,4 years ago,10M views
Brain magic | Keith Barry,12 years ago,10M views
A simple way to break a bad habit | Judson Brewer,5 years ago,10M views
My journey from Marine to actor | Adam Driver,4 years ago,9.8M views
The astounding athletic power of quadcopters | Raffaello D'Andrea,7 years ago,9.7M views
